PATH,TYPE,VALUE,MTIME
WARN: File header indicated root key at location 0x00001020, but no root key found. Searching rest of file...
/,KEY,,2023-08-07 15:50:07
/REGISTRY,KEY,,2023-08-07 15:50:07
/REGISTRY/MACHINE,KEY,,2023-08-07 15:50:07
/REGISTRY/MACHINE/Software,KEY,,2023-08-07 15:50:07
/REGISTRY/MACHINE/Software/Caphyon,KEY,,2023-08-07 15:50:07
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer,KEY,,2023-08-07 15:50:07
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex,KEY,,2023-08-07 15:50:07
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/,NONE,%00%00%00%00,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/AppDataFolder,SZ,,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/APPDIR,SZ,,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/DisplayName,SZ,Webex,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/LocalAppDataFolder,SZ,,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/PackageDataFolder,SZ,,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/ProgramDataFolder,SZ,,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/SHORTCUTDIR,SZ,ProgramMenuFolder\Webex,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/ShowNotification,SZ,false,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/UiLevel,SZ,0,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/UninstallCode,SZ,{9E8782E4-35AE-43BC-ACC3-FD058731D742},
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/UserDataFolder,SZ,,
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/Shortcuts,KEY,,2023-08-07 15:50:07
/REGISTRY/MACHINE/Software/Caphyon/Advanced Installer/Package_CiscoSystems.Webex/Shortcuts/0,KEY,,2023-08-07 15:50:07
